post_id,body,tags
1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","bullshit,from hell,Kitty"
2,"The world’s leading database is now available on Linux by bringing Microsoft SQL Server to Linux, Microsoft continues to embrace open source solutions. SQL Server 2017 brings the best features of the Microsoft relational database engine to the enterprise Linux ecosystem, including SQL Server Agent, Azure Active Directory (Azure AD) authentication, best-in-class high availability/ disaster recovery, and unparalleled data security. Note that SQL Server on Linux is not a port or rewrite. This is the same world-class Microsoft relational database management system (RDBMS) now available on more operating systems (like Red Hat Enterprise Linux, SUSE Linux Enterprise Server, and Ubuntu) and more cloud and container platforms (like Docker). Join us for one or all of a three-part webcast series now available on demand as we explore how SQL Server 2017 brings the industry-leading Microsoft relational database engine to the enterprise Linux ecosystem with our partners from Intel, Red Hat and HPE. Session One: SQL Server 2017 on Linux- #1 in price and performance—with massive scale Learn how you can get record breaking performance with SQL Server on Linux. SQL Server consistently leads in the TPC-E OLTP workload, the TPC-H data warehousing workload, and real-world application performance benchmarks. Presented by Bob Ward, Microsoft; Nicholas Gerasimatos, Red Hat; Wendy Harms, HPE. Session Two: SQL Server 2017 on Linux, Providing Industry leading security Learn how Security innovations in SQL Server 2017 help secure data for mission-critical workloads with layers of protection, adding Always Encrypted technology along with row-level security, dynamic data masking, transparent data encryption (TDE), and robust auditing. Presented by Joachim Hammer, Microsoft; Ken LeTourneau, Intel; Nicholas Gerasimatos, Red Hat. Session Three: SQL Server 2017 on Linux, In-memory technologies Learn how in-memory technologies in SQL Server help to optimize the performance of your transaction processing, analytics, as well as hybrid (HTAP) workloads. Presented by Jos de Bruijn, Microsoft; Ken LeTourneau, Intel; Wendy Harms, HPE.","NoSQL,MySQL"
3,"SQL Operations Studio was announced for public preview on November 15, 2017 at Connect(), and this January release is the second major update since the announcement. If you missed the December release announcement, you can learn more on the SQL Server blog. The January release includes several major repo updates and feature releases, including: Enable the HotExit feature to automatically reopen unsaved files. Add the ability to access saved connections from Connection Dialog. Set the SQL editor tab color to match the Server Group color. Fix the broken Run Current Query command. Fix the broken pinned Windows Start Menu icon.","NoSQL,MySQL,Oracle"
4,"We are excited to announce the Public Preview release of mssql-cli, a new and interactive command line query tool for SQL Server. This open source tool works cross-platform and is a proud member of the dbcli community. See the install guide to download mssql-cli and get started. Read on to learn more about mssql-cli features, how to submit feature requests or issues, and our open source collaboration story to bring you this great tool.",MySQL
5,"Introduction JPA Criteria API bulk update delete is a great feature that allows you do build bulk update and delete queries using the JPA 2.1 Criteria API support via CriteriaUpdate and CriteriaDelete. Because one of our community members asked me on the Hibernate forum about this topic, I decided it is a good opportunity to write about this lesser-known JPA Criteria API feature.","java,hibernate"
6,"Introduction The open-source hibernate-types project allows you to map Java objects or Jackson JsonNode as JPA or Hibernate entity properties, and, thanks to our awesome contributors, we have added support for storing type-safe JSON collections. In this article, you are going to see how to achieve this goal.",data science
7,"Introduction One of my Twitter followers asked me if there is any documentation for bootstrapping JPA programmatically so that we can replace the persistence.xml configuration file with a Java configuration: Shyam Baitmangalkar @SBaitmangalkar Hey @vlad_mihalcea is there a way in which persistence.xml file can be replaced with Java config class? Any documentation related to this would be really helpful. 6:47 AM - Nov 28, 2017 2 2 Replies Retweets likes Twitter Ads info and privacy Previously, I wrote an article about bootstrapping Hibernate without the persistence.xml, but that solution was based on the Hibernate-specific EntityManagerFactoryBuilderImpl. In this article, I’m going to give you a solution that works with any JPA provider since it’s based on standard Java Persistence API.","java,hibernate,data science"
8,"Never is a strong word. Never is actually so strong that there is an often repeated phrase…”never say never”. But I’m saying it…I will never ride a road bike on the road again. ONE QUICK CLARIFICATION BEFORE I GET STARTED First, I am not one of those mountain biker elitists that make fun of spandex wearing road bikers. I actually LOVE road biking. There is a different kind of rush that comes from carving corners in the mountains at a high rate of speed and sometimes even hitting over 50 mph. I often told people it was like riding a sport bike without the motor. Sure…there are the obvious endurance/fitness benefits of road biking that directly translate to mountain biking fitness but it really wasn’t about that for me. I genuinely enjoyed riding on the road and even did a couple of century rides per year when we weren’t riding in the mountains. Road biking was also a great way to ride during rainy weeks when trails were closed or during the really hot months down here in humid Georgia where the breeze of the faster speeds was more tolerable than being back in the woods with upper 90’s heat and 90% plus humidity. While mountain biking will always be where I call home, road biking filled a need that I really enjoyed as well. SO WHY AM I SWEARING OFF ROAD RIDING ALL TOGETHER? It has gotten too dangerous. I am not normally a wimp when it comes to things. I enjoy the adrenaline rush of big drops and crazy technical terrain on a mountain bike. The past 2+ years I have been 1/2 mile racing a 1,300whp Cadillac CTS-V on airstrips. I enjoy dangerous activities that often times come with stiff penalties when you mess up. I have always been that way and will probably continue to be. There is just one big difference here… In all of those activities, I choose my fate. I can let off and back out if I want to and make it home safely. I also practice these activities to get my skills to the point that the probability of something really bad happening drastically decreases. Is the chance still there? Absolutely, but it is a calculated risk and there is a lot of safety equipment involved. When you are riding on the road these days…you are wearing spandex, a helmet and you are taking on an opponent you can never beat – multi-thousand pound cars, trucks and construction equipment. You could argue that it has always been that way so what is the big deal? It isn’t the same anymore and it is because of two very obvious reasons. 1 – DISTRACTED DRIVERS Distracted driving is at an all-time high and I believe there are several reasons that contribute to this. We have made cars way too easy to drive. Thanks to modern technology, people are relying far more on things like position sensors, automatic lane sensing technology and automatic braking technology while they are driving their cars. This creates a false sense of security while driving and a reliance on these technologies. There are many times these sensors do not see cyclists on the road. The drivers are also less apt to be paying close attention to what is on the road due to the alerts becoming a part of their regular diving routine. I have said it for awhile now but I truly believe there would be fewer wrecks if everyone had to drive a stick shift again with less technology in the cars. While it has been great for a lot of things…there would be less eating, playing with your phone or daydreaming if it was actually hard to drive cars again. There was a rider killed on the street I live off of a couple of years ago from a car pulling through a stop sign for this very reason. I live on farm roads which used to be our safe place to ride. Technology and Cell Phones Before the modern day smartphone, we weren’t checking our texts, Facebook, Instagram or other apps on a minute by minute basis. You can go to any restaurant right now and see two people sit across from each other while just staring at their phones and not even talking. The entire world is connected now and everyone is obsessed with it. There are times I am driving down the highway in my F150 and I am nervous about the people around me because no one is looking at the road. These are the same people driving around you while you are riding and I have personally seen several wrecks with road bikers recently that I can guarantee stemmed from cell phone use. Unfortunately, many people are driving around thinking that the actual driving the car part is a secondary activity. 2 – ANONYMOUS ASSHOLES Unless you have been living under a rock the past couple of days, you have seen this video. Apparently, this guy targets cyclists WITH HIS SUV as they ride. This rider ended up in the hospital and there are stories of this same driver swerving into others. Luckily these guys had a camera running and with the beauty of the internet, he was promptly arrested the following night with a nice list of charges. This kind of behavior is on the rise. Road rage, online arguing…any form of aggression where you don’t have to actually look someone in the eye and say something is increasing at an alarming rate. Keyboard courage and road rage go hand in hand in my book. It is the same kind of aggression that can be done behind the safety of something whether it be a car, computer or cell phone. That false wall gives people a feeling of invincibility and a God-like complex where they feel the rules don’t apply to them. While there has always been some tension between drivers and cyclists…it seems to be worse than ever and not getting any better. If you even read the comments on the video posted above on some sites there are people advocating that all cyclists should be hit and that is scary. I HATE IT BUT I’M NOT LEFT WITH MUCH CHOICE So I really hate this decision but after a lot of close calls and watching our safe riding routes become unsafe…it is time to hang it up. I would rather semi-control my activities that could bring harm instead of just riding along someday and find myself getting hit by a car. The person could be great and just made a bad choice to check a Facebook alert or they could be like the guy above. Both result in the same outcome where I could be severely hurt or even worse…not make it home to my wife and 5 year old kid. I’m not alone in this decision either. I have several friends that have road bikes that only ride the trainer these days as well. If you pick a fight with a 4,000 pound metal object on a 20 pound bike and basically just your underwear and a foam hat on…you’ll lose every time. Be careful out there and ride in groups as much as you can. There is still safety in numbers as you will be more visible to the drivers around you. I can really see why apps like Zwift are so popular now. While it isn’t the same experience as riding on the road, it at least makes a trainer interesting!","sport,road"
9,"First, thank you for the continued support of Bike198 and the content we publish here. We greatly appreciate it and your spreading of our content on the web allows us to continue with the site. Without you guys…Bike198 is nothing but words on a screen. To make things more organized…there have been some big changes made to the Bike198 family of websites over the weekend. Now…mountain, road and commuter sites are all on Bike198.com instead of having their own separate subdomains. This does several things for you guys… Makes things easier to find and search across all disciplines. Creates a combined feed for those that want to keep track of everything going on at Bike198. It also makes our life much easier by bringing everything to a single site with a single login to update everything we have going on in the cycling world. If you are already signed up for one of the newsletters or RSS feeds, nothing changes for you there. You are still subscribed the same way you were before (mountain, road or urban). If you would like to sign up for the combined RSS feed or one of the other feeds, the links are below. Bike198 Combined Feed Mountain Biking Feed Road Biking Feed Commuter Biking Feed THE BIKE198 FORUMS You will also notice that we started to style the Bike198 forums to match the rest of the site. This will continue to be integrated more for a seamless experience between the two. The forums have gotten off to a great start…but we need your help. We want to have a growing community centered around Bike198 and the dedication to all things biking, so we need you to register for the forums…if you haven’t already…and tell your riding friends about it as well on Facebook, Twitter, Google Plus, local forums or where ever else you hangout online. Thank you for the continued support! Tell your friends about the new forum…let’s get this thing really rolling! First, thank you for the continued support of Bike198 and the content we publish here. We greatly appreciate it and your spreading of our content on the web allows us to continue with the site. Without you guys…Bike198 is nothing but words on a screen. To make things more organized…there have been some big changes made to the Bike198 family of websites over the weekend. Now…mountain, road and commuter sites are all on Bike198.com instead of having their own separate subdomains. This does several things for you guys… Makes things easier to find and search across all disciplines. Creates a combined feed for those that want to keep track of everything going on at Bike198. It also makes our life much easier by bringing everything to a single site with a single login to update everything we have going on in the cycling world. If you are already signed up for one of the newsletters or RSS feeds, nothing changes for you there. You are still subscribed the same way you were before (mountain, road or urban). If you would like to sign up for the combined RSS feed or one of the other feeds, the links are below. Bike198 Combined Feed Mountain Biking Feed Road Biking Feed Commuter Biking Feed THE BIKE198 FORUMS You will also notice that we started to style the Bike198 forums to match the rest of the site. This will continue to be integrated more for a seamless experience between the two. The forums have gotten off to a great start…but we need your help. We want to have a growing community centered around Bike198 and the dedication to all things biking, so we need you to register for the forums…if you haven’t already…and tell your riding friends about it as well on Facebook, Twitter, Google Plus, local forums or where ever else you hangout online. Thank you for the continued support! Tell your friends about the new forum…let’s get this thing really rolling! First, thank you for the continued support of Bike198 and the content we publish here. We greatly appreciate it and your spreading of our content on the web allows us to continue with the site. Without you guys…Bike198 is nothing but words on a screen. To make things more organized…there have been some big changes made to the Bike198 family of websites over the weekend. Now…mountain, road and commuter sites are all on Bike198.com instead of having their own separate subdomains. This does several things for you guys… Makes things easier to find and search across all disciplines. Creates a combined feed for those that want to keep track of everything going on at Bike198. It also makes our life much easier by bringing everything to a single site with a single login to update everything we have going on in the cycling world. If you are already signed up for one of the newsletters or RSS feeds, nothing changes for you there. You are still subscribed the same way you were before (mountain, road or urban). If you would like to sign up for the combined RSS feed or one of the other feeds, the links are below. Bike198 Combined Feed Mountain Biking Feed Road Biking Feed Commuter Biking Feed THE BIKE198 FORUMS You will also notice that we started to style the Bike198 forums to match the rest of the site. This will continue to be integrated more for a seamless experience between the two. The forums have gotten off to a great start…but we need your help. We want to have a growing community centered around Bike198 and the dedication to all things biking, so we need you to register for the forums…if you haven’t already…and tell your riding friends about it as well on Facebook, Twitter, Google Plus, local forums or where ever else you hangout online. Thank you for the continued support! Tell your friends about the new forum…let’s get this thing really rolling!","mtb,mountain bike"
10,"We all know the joys of mountain biking. Heading down the unbeaten tracks, no motor traffic for miles, no exhaust fumes to deal with, superb views and a lot of camaraderie. Wonderful – especially in the summer months! In the winter months the challenge just gets harder and a lot muddier but not any less fun. Mountain bikes are generally heavy, durable with a strong suspension and wide studded tyres for added grip and friction. The straight handlebars are designed for total control. Marvellous machines – for mountains. NOT QUITE RIGHT But when you hit the roads something just doesn’t feel quite right. The pedalling suddenly feels like extra effort. You are not taking advantage of the sheer speeds combined with comfort levels than only a road bike can bring. A road bike is all about perfection, speed, the gentle hum of those slick tyres as you race along. You’ll soon find yourself wanting to join races or, heaven forbid, ride in groups. The light, streamlined frame with components built to reduce weight in any way possible. Suspension and traction are done away with – dismissed as an impediment to speed. The new riding position is bent right down over the top bar. The guts and strength needed for mountain biking are replaced with fitness and a propensity for pain. TO SWITCH OR NOT TO SWITCH? THAT IS THE QUESTION So should you make the switch? The investment can be quite heavy. The lighter road bikes are expensive and if you are not sure you’ll get into it then you may hesitate. That’s not forgetting all the additional gear you’ll need. It’s not just the bike that needs to be streamlined, it’s also the cyclist. Tight fitting clothes, cycling shoes. Most people will dabble with the dark side through commuting to work. Although this can be done on a mountain bike people will often eye a road bike purchase. The enjoyment of the challenge on the road can push people to take it further. THERE IS ANOTHER OPTION Of course there is always a half-way alternative. A hybrid bike. Still capable of tackling some trails whilst not dragging you along on the road. These normally feature flat handlebars but thinner tires and a lighter frame. This remains my preferred bike for most rides but doesn’t quite achieve the same enjoyment as a road bike. You could also opt for changing your mountain bike. Whilst you’ll never achieve a full road bike, especially with a heavy frame, you can make your mountain bike more suitable for the road. The first is to switch for a pair of thinner, slick and ideally puncture proof tires that help achieve better rollability. This will also probably mean however a new set of wheels will needed to fit the thinner tire width. Additionally, clipless pedals that allow you to maximise the return on your pedalling effort can easily be installed to a mountain bike. Have you made the switch? Or have you always enjoyed both road and mountain biking? Leave a comment below.. We all know the joys of mountain biking. Heading down the unbeaten tracks, no motor traffic for miles, no exhaust fumes to deal with, superb views and a lot of camaraderie. Wonderful – especially in the summer months! In the winter months the challenge just gets harder and a lot muddier but not any less fun. Mountain bikes are generally heavy, durable with a strong suspension and wide studded tyres for added grip and friction. The straight handlebars are designed for total control. Marvellous machines – for mountains. NOT QUITE RIGHT But when you hit the roads something just doesn’t feel quite right. The pedalling suddenly feels like extra effort. You are not taking advantage of the sheer speeds combined with comfort levels than only a road bike can bring. A road bike is all about perfection, speed, the gentle hum of those slick tyres as you race along. You’ll soon find yourself wanting to join races or, heaven forbid, ride in groups. The light, streamlined frame with components built to reduce weight in any way possible. Suspension and traction are done away with – dismissed as an impediment to speed. The new riding position is bent right down over the top bar. The guts and strength needed for mountain biking are replaced with fitness and a propensity for pain. TO SWITCH OR NOT TO SWITCH? THAT IS THE QUESTION So should you make the switch? The investment can be quite heavy. The lighter road bikes are expensive and if you are not sure you’ll get into it then you may hesitate. That’s not forgetting all the additional gear you’ll need. It’s not just the bike that needs to be streamlined, it’s also the cyclist. Tight fitting clothes, cycling shoes. Most people will dabble with the dark side through commuting to work. Although this can be done on a mountain bike people will often eye a road bike purchase. The enjoyment of the challenge on the road can push people to take it further. THERE IS ANOTHER OPTION Of course there is always a half-way alternative. A hybrid bike. Still capable of tackling some trails whilst not dragging you along on the road. These normally feature flat handlebars but thinner tires and a lighter frame. This remains my preferred bike for most rides but doesn’t quite achieve the same enjoyment as a road bike. You could also opt for changing your mountain bike. Whilst you’ll never achieve a full road bike, especially with a heavy frame, you can make your mountain bike more suitable for the road. The first is to switch for a pair of thinner, slick and ideally puncture proof tires that help achieve better rollability. This will also probably mean however a new set of wheels will needed to fit the thinner tire width. Additionally, clipless pedals that allow you to maximise the return on your pedalling effort can easily be installed to a mountain bike. Have you made the switch? Or have you always enjoyed both road and mountain biking? Leave a comment below..","sport,mtb,mountain bike"
